epoch,accuracy,loss,val_accuracy,val_loss
0,0.27490997314453125,1.7986235618591309,0.5270270109176636,1.3241262435913086
1,0.6218487620353699,1.0827809572219849,0.7635135054588318,0.7200485467910767
2,0.732292890548706,0.7325605750083923,0.7837837934494019,0.5511734485626221
3,0.8055222034454346,0.55278480052948,0.8581081032752991,0.3616918921470642
4,0.8535414338111877,0.43864110112190247,0.9256756901741028,0.22642414271831512
5,0.871548593044281,0.36631709337234497,0.9662162065505981,0.17265796661376953
6,0.8967586755752563,0.32138970494270325,0.9459459185600281,0.15287645161151886
7,0.9159663915634155,0.24762719869613647,0.9729729890823364,0.1059216558933258
8,0.9351740479469299,0.1932838261127472,0.9594594836235046,0.09946873039007187
9,0.9255702495574951,0.25626125931739807,0.9729729890823364,0.10659066587686539
10,0.9435774087905884,0.17161047458648682,0.9932432174682617,0.058880142867565155
11,0.9579831957817078,0.1579744666814804,0.9527027010917664,0.1185184046626091
12,0.9519807696342468,0.12816795706748962,0.9797297120094299,0.05554705113172531
13,0.9555822610855103,0.16797788441181183,0.9797297120094299,0.07996337115764618
14,0.9603841304779053,0.12468325346708298,0.9932432174682617,0.04594140872359276
15,0.9555822610855103,0.12909632921218872,0.9864864945411682,0.028599614277482033
16,0.9663865566253662,0.09984535723924637,0.9729729890823364,0.07040101289749146
17,0.9615846276283264,0.11459377408027649,0.9932432174682617,0.028681796044111252
18,0.9615846276283264,0.1079159528017044,0.9864864945411682,0.05030745267868042
19,0.9687874913215637,0.0972646027803421,0.9864864945411682,0.0494103841483593
20,0.9663865566253662,0.10174891352653503,0.9932432174682617,0.016886064782738686
21,0.9783913493156433,0.07242999225854874,0.9932432174682617,0.04015329107642174
22,0.9735894203186035,0.07613062113523483,0.9932432174682617,0.038540586829185486
23,0.9675870537757874,0.08723406493663788,0.9864864945411682,0.05356629937887192
24,0.9843937754631042,0.06211216375231743,0.9797297120094299,0.06907055526971817
25,0.9735894203186035,0.08453372120857239,0.9932432174682617,0.04017746075987816
26,0.9807923436164856,0.07405486702919006,0.9864864945411682,0.03250422701239586
27,0.9723889827728271,0.08283498138189316,0.9864864945411682,0.031452372670173645
28,0.9747899174690247,0.0774502158164978,0.9864864945411682,0.04505899176001549
29,0.9831932783126831,0.05521639063954353,0.9932432174682617,0.016651326790452003
30,0.9783913493156433,0.057626500725746155,0.9797297120094299,0.11265647411346436
31,0.9807923436164856,0.07082735002040863,0.9864864945411682,0.08896443992853165
32,0.981992781162262,0.052991580218076706,0.9932432174682617,0.017316851764917374
33,0.9855942130088806,0.04226988926529884,0.9932432174682617,0.01971357688307762
34,0.9807923436164856,0.057441797107458115,0.9797297120094299,0.055739033967256546
35,0.989195704460144,0.043863244354724884,0.9864864945411682,0.01672268472611904
36,0.9807923436164856,0.047046221792697906,0.9864864945411682,0.03223937749862671
37,0.9867947101593018,0.03782062977552414,0.9797297120094299,0.06450722366571426
38,0.9903961420059204,0.03228949010372162,0.9932432174682617,0.027234656736254692
39,0.989195704460144,0.03335778787732124,0.9864864945411682,0.05122062936425209
40,0.981992781162262,0.060282446444034576,0.9459459185600281,0.12648321688175201
41,0.9723889827728271,0.08521290123462677,0.9932432174682617,0.05778101459145546
42,0.9795918464660645,0.057095713913440704,0.9864864945411682,0.09693992137908936
43,0.9783913493156433,0.06598266214132309,0.9932432174682617,0.015005656518042088
44,0.9771908521652222,0.06494808197021484,0.9932432174682617,0.0412578210234642
45,0.9843937754631042,0.051649998873472214,0.9864864945411682,0.025581300258636475
46,0.989195704460144,0.03304373100399971,0.9932432174682617,0.015649685636162758
47,0.9855942130088806,0.03952603414654732,0.9932432174682617,0.03269020467996597
48,0.9843937754631042,0.04140347242355347,0.9864864945411682,0.04625517874956131
49,0.9735894203186035,0.06949856132268906,0.9864864945411682,0.07485752552747726
